0,1,2,3,4,5,6,7,8,9,10,11
https://unistyleinc.com/entry_sheets/9114,エントリーシート（地域社員）,困難に向き合い、乗り越え、実現してきた経験を教えてください。（300字以内）,サークル活動で、小学生４０人にフットサルの指導を２年半行いました。最初は生徒が指導に耳を貸さず、生徒同士の喧嘩も多く悩みました。原因は、生徒の名簿が無く名前を覚えていない指導員がいる事だと思いました。名前を呼ぶ事で生徒との距離が縮まり、信頼関係が生まれると考え、早急に名簿を作成し共有しました。積極的に声を掛ける事で、生徒から歩み寄ってくる事も増えました。生徒と会話を重ねる中で、私は生徒の考えを決めつけず理解できるようになりました。生徒との関係が良くなると、生徒間の喧嘩も減り、上級生は下級生の面倒を見るまでに成長しました。この経験から、他者の目線で物事を見て行動する力を身につける事ができました。,異なる価値観に影響を受けた経験を教えてください。（300字以内）,フットサル教室において私の発言を生徒に否定された事がありました。ある日、３年生の生徒が、１年生の生徒の試合中のミスを責めて、泣かせてしまいました。その時私が３年生の生徒に強く注意すると、逆にその子は怒ってしまいました。私自身、注意されると従う子供だった事もあり、全員が一辺倒に従うものだと思って、自分の価値観を押し付けてしまった事を反省しました。その後、生徒個々の性格や考えを知るために、これまで以上に休憩中も練習後も話しかけ、保護者の方にも生徒の普段の様子や性格を聞くようにしました。生徒個々の性格や考えを踏まえ、柔軟に対応をする事によって、生徒が耳を傾けてくれるようになりました。,自ら学び考え、行動した経験を教えてください。（300字以内）,大学から始めたカフェのアルバイトでは、社員さん個々の特徴に合わせて常に気配りする点を変えながら動いています。ある程度知識や作業手順を身につけ、更なるステップアップを考えた時に、社員さんにとって働きやすい環境を作り、役に立てる存在になろうという目標を設定しました。それから社員さん個々の動き方や癖を観察し、それに合わせて私自身の動き方を考えました。例えば現場主義の社員さんに対しては先回りして作業をすることで社員さんの事務作業の時間確保を意識しています。この強みを生かし、仕事でも細やかな気配りやフォローを心がけながら働きたいです。,他者を巻き込み、リーダーシップを発揮した経験を教えてください。（300字以内）,"ボランティアサークルの代表として、学食メニュー販売の売上と寄付金増額に成功した経験です。学食に新メニューを考案し導入販売してもらい、売上金の一部をアフリカの子供達の給食費として寄付するボランティアの、リーダーとして活動しました。過去２年の販売食数・寄付金の減少を改善する為、考案したとろろ丼を好むのは女子学生と考え、ターゲットを絞った販売戦略と宣伝活動を行いました。結果、前年よりも販売食数を１２０食増加させ、1,320食売り上げる事に成功しました。この経験から、私は周りを引っ張れるようなタイプではないですが、メンバーと同じ目線になり他者を巻き込み、物事を進める主体性の取り方もあるのだと学びました。",三井住友海上を志望する理由を教えてください。（200字以内）,日常の多様なリスクをカバーし、人々の生活を守る事ができる社会貢献性の高い損害保険に魅力を感じました。その中でも法人営業に強い貴社で、素晴らしい技術を持った多くの日本企業の支えになりたいです。また、女性も働きやすい環境があり、実際お会いした女性社員さんみなさんが、自身の仕事について生き生きとお話しされているところを見て、私も貴社でみなさんのような素敵な社員になりたいと思い、志望しました。
https://unistyleinc.com/entry_sheets/9088,エントリーシート（全域社員）,設問1　困難に向き合い、乗り越え、実現してきた経験を教えてください。（300字以内）,「塾講師で大学二年に担当した英語のクラス」秋から担当したクラス６人全員の点数は５０点以下だった。私は点数の２０点上昇を目指し、わかりやすく教えることを心掛けたが初回のテストで結果は出なかった。その原因を知るため学校の授業について聞いたり、自分の授業を振り返ることにした。その結果学校では授業についていけていないこと、私自身では自分本位の授業をしていたと感じた。そこで習熟度を測るため常に理解できたかを話しながら授業を進め、学校生活に沿った例文を取り入れた。さらに小テストで個人の苦手分野を把握し、その分野別に課題プリントを配布した。結果的に次のテストでクラス全員点数が平均２５点伸び、目標を達成した。,設問2　異なる価値観に影響を受けた経験を教えてください。（300字以内）,私が長期インターンをしていた時に出会った同僚の考え方だ。それは物事など、何に対しても「なぜ」を問いかけ、物事の流れや経緯を調べると共に、それに対する自分の意見を常に持っていた。その考え方が彼女の物事に対する理解力を深めており、何に対しても発言できているのだと彼女と話してわかった。しかし私はこれまで与えられた情報や決まりきった物事をそういうものだと受け入れ、疑問を持たなかった。それ以来、私は何事にもアンテナを高く張ることの重要性と、常に自分の考えを持つことの大切さを感じた。それをきっかけに、私も物事や情報に「なぜ」と問いかけ流れや経緯、理解を深めると共に、自分の意見を考えるように心がけた。,設問3　自ら学び考え、行動した経験を教えてください。（300字以内）,「ベンチャー企業での４ヵ月の営業インターン」昨年の８月からベンチャー・中小企業に掲載を特化したナビ媒体の新規営業をしていた。当初は８月の座学で学んだ知識だけで営業をしていたため、電話でのアポイントを獲得できなかった。そこで、電話での言い回しや商材の知識を社員の方に深く教えてもらったり、営業のロープレを社員の方にしてもらったり、隣で営業する姿を見て真似をするなどした。また１７年卒の学生に関しては、社員の方より詳しい自信があり、電話での営業時に「１７年卒の早期に動く学生の行動特性の情報をお伝えしたい」ということを独自に売りだした。この経験から、積極的に学ぶ姿勢と独自の工夫を考える大切さを学んだ。,設問4　他者を巻き込み、リーダーシップを発揮した経験を教えてください。（300字以内）,『大学一年から続けているアルバイトの塾講師』中学生の集団の塾講師をしている中で私は、講師全員のサポートで生徒の成績を向上させるため、担当講師間のミーティングを提案しました。これまでは科目で担当する講師が異なり、それぞれの科目で生徒の強みや課題が共有できておらず、日誌に授業内容を記載するだけでした。そこでミーティングで担当科目の講師全員で、生徒一人一人の強みと課題を共有することで、講師が一丸となって生徒の課題克服へのアプローチを授業内外・科目問わず行えるようになり、成績も上昇しました。この経験から、集団で協力して相手のそれぞれ異なるニーズに応えること、主体的に行動することの大切さを学びました。,0,0
https://unistyleinc.com/entry_sheets/8816,【内定】エントリーシート（エリア総合職）,困難に向き合い、乗り越え、実現してきた経験を教えてください。(300文字),ベトナムのある小中学校の教育支援ボランティアの活動において、団体の奨学金制度をより良くするために行った家庭訪問による生徒の調査に苦労しました。普段外国の人と触れ合う機会がほとんどない生徒の家族は、私たちに対して警戒心を抱いていたからです。初めは挨拶さえもままなりませんでしたが、私は、彼らに団体の活動目的や概要、「学校に通えない子どもを一人でも多く減らしたい」という強い思いを拙い英語ながらも必死で伝えました。すると、次第に笑顔を見せ、家庭の現状や困っていることを具体的に話してくれるようになりました。この経験を通じて、母語が異なっていても、真摯に向き合うことで気持ちは通じ合えると実感しました。,異なる価値観に影響を受けた経験を教えてください。(300文字),私は第一志望でない大学に入学し、異なる価値観に大きく影響されました。入学当初は悔しさを抱えながら一人で授業に出席する日が続きました。しかし、この気持ちのままでは何も得ることのない4年間を過ごすことになると自分を戒め、毎日できるだけ多くの人と会話をし、学校生活を充実させようと心がけるようにしました。その中で、自分にはないものを持つ多種多様な人に触れた私は、ようやく勉強以外の幅広い価値観に気づき始め、この大学でしか得られない経験をしようと考えました。そして、ボランティアやゼミに力を注ぎ、今の私を形成しています。この経験を通じて、不本意な環境でも自分の考え方と行動次第で正解にできることを学びました。,自ら学び考え、行動した経験を教えてください。(300文字),塾講師のアルバイトで、強みである「妥協を許さない責任感」を武器に、生徒や仲間から信頼を得てきました。私は自分の力で生徒の成績向上に貢献したいという思いから、3年間で約1400コマの担当生徒の授業を2コマを除いて全て受け持ちました。そして、授業前に必ず生徒の目標までのカリキュラムを逆算することで授業計画の調整を徹底し、毎回確実な学習進捗を追いました。結果、生徒の成績が上がると同時に、仲間からも熱意ある姿勢が認められ、生徒と他講師それぞれによる講師評価アンケートにおいてどちらも教室内1位を獲得しました。この経験を通じて、相手のために物事を最後までやり抜くことが、周囲からの信頼に繋がると実感しました。,他者を巻き込み、リーダーシップを発揮した経験を教えてください。(300文字),設問1にて言及したボランティア活動で、団体の奨学金制度を改革しました。11年前の団体発足以来、奨学金制度は受給者の選定を現地の先生に一任していましたが、このあり方では、審査が不透明になり、必要な生徒に奨学金が渡っていないことに気づきました。そこで私は自分たちで受給者を公正に選定するための基準を設けるべく、ベトナム語の応募書類の作成と家庭訪問による調査を発案しました。そして、メンバーや現地の姉妹団体に協力を求めながら、書類の翻訳と訪問のためのマニュアル作成を主導しました。ました。これにより実現した新基準を適用した結果、義務教育を受けられなくなる子どもが前年の42人から34人まで減少しました。,三井住友海上を志望する理由を教えてください。(200),私はボランティアの経験から、多くの人や企業と関わり、その成長をサポートできる損害保険業界を志望します。中でも貴社を志望する理由は、独自の人財育成プロジェクト「Be プロフェッショナル for all」によって個の力をチームに結集し、目標達成に向けて互いに切磋琢磨できる環境に魅力を感じるからです。入社後はまず「学ぶ責任」を常に心がけ、お客さま一人ひとりに最適な“解”を提供できる社員を目指したいです。
https://unistyleinc.com/entry_sheets/8363,【内定】エントリーシート,困難に向き合い、乗り越え、実現してきた経験を教えてください。（300字以内）,【大学3年時に参加した採用支援会社での長期インターンシップにおいて、就活イベントへの学生集客を伸ばした経験】です。１日に50人以上の学生に電話をかけていきイベントに勧誘するのですが、最初は全然話を聞いてもらえず初月は4人しか動員できませんでした。何が問題なのかを分析したとき、自分がトークスクリプトをただ読んでいるだけという問題点がありました。そこで私は実際に４年生向けの就活イベントに参加してセールスポイントをまとめたり、社員の方の営業に同行させてもらい相手にどうアプローチしているのかを研究したりと自分なりのトーク磨きに努めました。その結果、月に30人以上の学生動員を実現することができました。,異なる価値観に影響を受けた経験を教えてください。（300字以内）,「協調性」という価値観について、自分の考えが覆った経験です。長期インターン先の社員の方からの言葉に影響を受けました。私は今まで自分の考えよりも集団の意見を優先するようにしてきました。それがチームとして行動する上での協調性だと思っていたからです。しかし社員の方から「ただ周りに合わせることを協調性とは言わないよ」と指摘を受けました。その時、協調とは受け入れることではなく、自分と周りの意見との集約を図り、全員の意見が一体化することなのだと考えが変わりました。それからは自分の考えを押しとどめたりせず、異なる考えや立場の人に対しても互いの意見を理解し合えるように周囲の人とよく話し合うようになりました。,自ら学び考え、行動した経験を教えてください。（300字以内）,洋菓子屋でのアルバイトの経験を通して、課題に対して自ら行動し解決することの重要性を学びました。私が所属する店は近隣の店舗よりもバイト生のミスによるクレームが多い状況でした。店長からの注意喚起ただけでは、特に状況改善はありませんでした。そこで私はクレームが多いミスについて、原因を探りました。すると、商品を入れる際の確認を怠っている人や郵送・予約の正しい手続きを覚えていない人が多いことに気づきました。私は店長に相談し、商品確認表や郵送・予約について分かりやすいように写真つきマニュアルを作成しました。その結果バイト生がそれを活用してくれるようになり、同じミスによるクレーム多発の状況が改善されました。,他者を巻き込み、リーダーシップを発揮した経験を教えてください。（300字以内）,採用支援会社での長期インターンシップでの経験です。9人のインターン生チームのリーダーを務めていました。私がそこで大切にしていたことは「全員のバラつきを無くし、同じ方向を向ける環境を作ること」です。始めた当初はメンバー間で能力に大きな差があり、それがモチベーションにバラつきを生んでいました。そこで私は電話動員が得意な人と苦手な人の大きな差を埋めるため、月一回各自の状況報告と有効的なトークの共有をするためのミーティングの開催を提案しました。また、それぞれの強みを活かして役割分担をし、全員が目標に貢献できる環境を作りました。その結果、全員の目標に向けての意識向上に繋がり、チーム目標が達成できました。,三井住友海上を志望する理由を教えてください。（200字以内）,「企業の挑戦を支え、一緒に新しい変化を生み出していきたい」と考え貴社を志望しました。企業の挑戦には多大なリスクが存在し、そのリスクと対峙するのが損保の役割だと思います。損保会社の中でも貴社はアジア・欧州・米州という力を入れている地域バランスが良い点に将来性を感じられ、より多くの企業に安心を提供し続けることができると考え、魅力を感じました。自らも挑戦していく貴社の環境に身を置き私も成長したいです。
https://unistyleinc.com/entry_sheets/8353,【内定】エントリーシート(地域総合職),困難に向き合い、乗り越え、実現してきた経験を教えてください。,テニスサークルの1・2年代表として新入生退部率の改善に取り組んだ経験です。例年多くの新入生退部者を出す勧誘方法に問題を感じ、一新させたいと考えました。しかし初めは「従来の方法を踏襲すべき」という意見と衝突しました。そこでまず退部者５０名に退部理由を聞き、このアンケート結果と自身の想いを合わせて説明する事で、反対していた先輩方にも納得してもらう事が出来ました。その後、従来の勧誘を見直しました。勧誘目的とサークルの長所・短所を明確にし全体に共有しました。結果、新入生退部者は前年の５２名から１７名に減りました。この経験から【改革を恐れない姿勢】と【課題から逃げずに、自ら働きかける事】を学びました。,異なる価値観に影響を受けた経験を教えてください。,個別指導塾のアルバイトでの経験で、教室長の価値観に影響を受けました。私にとって理想の講師は中学時代の塾の先生で、努力を重視し厳しく指導をする方でした。そのため私もそれに基づいた指導を行っていました。しかし、教室長は勉強以外の時間を大事にしていました。世間話をして生徒のことをよく理解し、生徒も教室長を信頼している様でした。そして1人1人に合った指導方法で多くの生徒の成績アップに繋がっていました。私は自分のやり方が全ての生徒に合うものではないことに気がつきました。この経験から、【1人1人に向き合い、信頼関係を築く事】が重要だと認識し、それ以来必ず80分の授業の内10分は世間話を取り入れています。,あなたが他者を巻き込み、リーダーシップを発揮した経験を教えてください。,上記のテニスサークルにおける勧誘活動改革の過程でリーダーシップを発揮しました。「部員の参加率の低さ」という課題に対し、新しい勧誘に対する不安から皆が参加しづらくなっていると知って①勧誘マニュアルと②「日常動画」を作成しました。①部員の不安を払拭すべく、新入生に伝える事を細かく載せ、マニュアルデータを共有しました。②日々の様子を撮る事でサークル全体を巻き込み、部員の積極的参加に繋がりました。結果、皆が主体的に勧誘活動に取り組むようになり、目標入部者数を達成する事が出来ました。この経験から【メンバーの想いを汲み取る事】と【周りを巻き込んで全体を一つの方向へ導く事】こそリーダーシップだと感じました。,三井住友海上を志望する理由を教えてください。,大学で奨学金の給付を受けている経験から、お金が人の精神面まで支えていることを実感し、金融業界を志望しています。また塾講師の経験から、人の挑戦や成長を支えている損害保険の仕事に惹かれました。インターンシップやビジネスコンテストを通じて、貴社の仕事や、社員の方の想いを知る機会を頂きました。その中で常にお客様や社会と真摯に向き合い働いている貴社の社員の方々と一緒に働きたいと強く思い、志望しています。,0,0
https://unistyleinc.com/entry_sheets/8054,【内定】エントリーシート（エリア総合職）,あなたがこれまでに困難に向き合い、乗り越えてきた経験、または実現してきた経験を教えてください。（３００字）,困難な経験は、高校の陸上部で後輩たちにタイムを抜かれた中で、女子長距離ブロック長を務めあげたことです。膝の故障をし、後輩たちにタイムを抜かれていく中でリーダーとしての意義を見失うことがありました。この原因はリーダーは前に立ってチームを牽引する役割であると考えていたからでした。これを変えるきっかけは「私たちは先輩がいるから頑張ることができている」と声をかけられた時でした。リーダーにはチームを支える役割があることを実感し、支えるリーダー像へと切り替えを行いました。具体的には、いつもペースメーカーとして先頭で走っていたところを、調子の良いメンバーに任せ、自分は後ろから遅れがちな後輩の背中を押して練習するなど立ち回りを変更しました。その結果、3年生の11月まで部活を継続し役目を果たしました。,あなたが異なる価値観に影響を受けた経験を教えてください。（３００字）,今まで学生や教員などの付き合いしかなかった中で、社会人のベトナム人に出会い、物事を進める上では信頼関係が大切であることを学びました。ベトナム教育支援活動では、ベトナム人に協力してもらって活動を行ってきました。協力団体の代表は社会人で忙しいため、依頼をスムーズに聞き入れて貰えないことがありました。そこで、待たされることが好きではないベトナム人に信頼してもらうために、迅速な返信や迅速な資料制作対応などを徹底しました。さらに 、日本にいる時からSNSを通じてメッセージのやりとりをし、現地では食事をして会う頻度を増やすことで仲を深めました。その結果、煩雑な依頼を快く受け入れてもらえるようになり、活動を円滑に進めることができました。,あなたが自ら学び考え、行動した経験を教えてください。（３００字）,ドイツ語の勉強方法を工夫を施しながら行いました。週に3日あるドイツ語の授業では、毎回教科書4ページ、所用時間2時間の和訳課題が出されていました。サークルやアルバイトで忙しくなる中、深夜に課題に取り組むことが原因で寝不足になることがつづいていました。そこで、隙間時間、スマートフォンを活用することで解決しました。隙間時間は通学時間の往復2時間とアルバイトの休憩1時間を利用しました。課題はパソコンからオンライン上で提出する形式だったので、席に座れない電車の中やパソコンを持ち込めないアルバイトでは取り組むことが困難だと考えていましたが、スマートフォンのテキスト同期アプリを利用することで取り組みを可能にしました。このように工夫を施して取り組み、効率的に勉強することに繋げました。,あなたが他者を巻き込み、リーダーシップを発揮した経験を教えてください。（３００字）,ベトナム教育支援活動でハノイへの支援先拡大に挑戦しました。ハノイでの人脈が皆無、資金不足という２点の課題があったので、既存の人脈活用、チャリティフットサル大会の開催に取り組みました。私は統括役として、新旧メンバーを組にして仕事を割り振る運営方法に変更し協力体制を創出しました。また、国際教養学部生にベトナム人学生との交流企画を任せ、フットサルサークル兼部中の者を大会責任者にするなど適材適所な分担を行いました。その結果、支援校を確定し、ハノイ大学生のカウンターパートを獲得しました。フットサル大会では１２０チームから６０万円の収入を得ました。このように人を巻き込んで取り組み支援先拡大に成功しました。,あなたが三井住友海上を志望する理由を教えてください。（２００字）,挑戦を支えることのできる損害保険に魅力を感じていること、インターンシップをやセミナーを通じて人に魅力を感じたことの2点の理由から志望します。まず、私はベトナムでボランティアを行う中で二度病院にかかった経験があります。この時、支えとなったのが海外旅行保険でした。この経験から挑戦を支える損害保険に意義を感じており、自分自身も人の挑戦を支えたいと考えました。
https://unistyleinc.com/entry_sheets/7330,【内定】エントリーシート(総合職),困難に向き合い、乗り越え、実現してきた経験を教えてください。（300字）,地元の成人式実行委員会での活動だ。他大学の学生２１名と市役所の職員４名で「皆が楽しめる成人式」をテーマに半年間取り組んだ。困難は学生の出席率が半分以下と低く、計画が滞ったことだ。議論を通して【各メンバーの当事者意識及び仲間意識の希薄さ】が課題だと感じ、皆が出席しなければ成功できないと考えた。そこで学生間では全員のチャットを作成、親睦を深めた。職員の方には全員が議論に参加できるよう月一回の会議数を月三回に増やすことを提案。その結果、ほぼ全員が毎回出席し議論が活発化。成人式の内容も担当の方から好評だった。この経験から周囲と協力するためには自ら考え働きかけ、信頼されることが重要だと学んだ。,異なる価値観に影響を受けた経験を教えてください。（300字）,アルバイト先の先輩の考えや価値観にとても影響を受けた。私が入社して間もない頃、仕事が遅く周りの方にとても迷惑をかけていた。その度落ち込んでいた私に先輩は「仕事は個人でするものじゃない。チームでするものだから、山尾が遅いのは全員のフォローが足りないからなんだ。」と話された。またどんなときも前向きで笑顔が絶えない方で、皆に慕われていた。その頃の私は自分主体の考えであったが、先輩の言葉や行動からリーダーとはこういう人のことだと感じた。この経験から私も信頼される人になりたいと強く思い、常に相手の立場を慮り働きかけることや何事も前向きに捉え、改善のために自分には何ができるかを考え行動するようになった。,自ら学び考え行動した経験を教えてください。（300字）,スターバックスでのアルバイトにおいて、新人育成を担当したことだ。当時は新人の定着率が低く入社後二ヶ月以内に七割が退職していた。働く楽しさが伝われば阻止できると考え、現状を変えたいと思い挑戦した。現場を観察して、新人に対する関心の希薄さと育成担当者の教え方の違いの二点が課題だと感じた。そこで新人定着率十割を目標に、自身の経験を踏まえ新人の立場を慮ることを念頭に置き、取り組んだ。新人育成には担当者しか関われないシステムを撤回。また教え方を統一するために担当者と話し合いより良いモデルを構築した。その結果、目標を達成。チームをまとめるには行動力や思いやりの他に個々に合わせたアプローチが重要だと学んだ。,他者を巻き込みリーダーシップを発揮した経験を教えてください。（300字）,スターバックスでのアルバイトにおいて、新商品の販売促進に注力したことだ。接客を通して定番商品を購入するお客様が多い事に気付き、店舗の利益に貢献したいとの想いから新商品販売促進チームを結成、活動を始めた。全店員の意思疎通と知識不足の二点が課題に感じた。そこで二つの信条を持ち取り組んだ。個々の意見、価値観を尊重すること、皆のやりたがらない事も率先して行うことだ。一人一人と話し合い、意見を施策に反映させた。またテストを作成。知識の重要性を説明した後に行うことで定着率向上を図った。その結果、前年度売上一昨年度比二割増を達成。周りを巻き込む上では誠実さと思いやりの心、行動力の三点が大切である事を学んだ。,志望理由を教えてください。（200字）,多くの人を支えることで社会の発展に貢献したい。大学時代のアルバイトにおいて、自らの知識や提案が人を喜ばせたり信頼に繋がることが多々あった。その度に大きな喜びを感じ、より周りの期待に応えるために行動した。この経験から人間力が求められ、顧客と同じベクトルで進められる仕事がしたいと考えている。貴社の人財育成に注力している点とお会いする社員の方全員が常にお客様のことを考えている点の二点に共感し、熱望する。
https://unistyleinc.com/entry_sheets/7899,エントリーシート,設問1 困難に向き合い、乗り越え、実現してきた経験を教えてください。（300字以内）,フィリピンでの語学留学の経験です。私が留学した学校は、所属するクラスによって、受けられる授業の種類や回数が決められていました。しかし、英語を「話す」能力を高めるという一番の目的を達成するため、文法の授業を全てスピーキングの授業に変えてもらえるよう交渉しました。最初は「規則だから」ととりあってもらえませんでした。しかし、そこで諦めてはわざわざ来た意味がないと思い、留学斡旋会社にかけあい、また学校長との面談を行って、直接要望を伝えました。その結果、授業変更が認められました。そして、一ヶ月間の留学ながら、著しく英語のスキルが向上したと認められた人に与えられる賞を、学校から頂くことができました。,設問2 異なる価値観に影響を受けた経験を教えてください。（300字以内）,ある女性の、最初に相手のことを考える姿勢に、驚きと影響を受けました。私は,設問3 自ら学び考え、行動した経験を教えてください。（300字以内,,設問4 他者を巻き込み、リーダーシップを発揮した経験を教えてください。（300字以内）,,設問5 三井住友海上を志望する理由を教えてください。（200字以内）,
https://unistyleinc.com/entry_sheets/6546,エントリーシート（地域総合職）,設問1　困難に向き合い、乗り越え、実現してきた経験を教えてください。（300字以内）,"【異端児から頼れるやつへ】
〇〇大学◇◇部に運営マネージャーで入部しましたが、当時、今までその役職には〇〇大生男子しかおらず「女子にしかも他大学なんかの新人に運営マネージャーが務まるのか」と先輩に言われました。私でもできるという事を証明しようと奮闘しました。具体的には①選手と親睦を深め信頼を得るため練習に参加。②どんな雑用でも笑顔で引き受ける。③同期にも先輩にも積極的に話しかける。④女子である事を活かした仕事をする、事です。結果、皆から認められ大きな仕事も任せられるようになりました。自分の役割を考え実行し、地道にコミュニケーションを積み重ねる事で信頼を得られると学びました。",設問2　異なる価値観に影響を受けた経験を教えてください。（300字以内）,"【部活動に対する意識の差】
〇〇大◇◇部に入部当初、私以外の女子のマネージャーは部活動に消極的でした。熱心な私と彼女たちの間に溝が生まれ、私は孤立してしまいました。部に積極的になるよう彼女たちに歩み寄り頑張りましたが、溝は広がるばかりでした。その後残念な結果となり、彼女たちの立場になりきれていなかった事に気づきました。副務になった今は反省を生かし、【親しみやすい雰囲気・常にアンテナを張って言動の変化をキャッチする・相手の話をじっくり聞き、共に解決策を考える】事を大切にし、マネージャー一人一人と信頼関係を築き、相手を認め、相手のためになる事を考え実行しています。",設問3　自ら学び考え、行動した経験を教えてください。（300字以内）,"【〇〇大◇◇部でグッズプロジェクトを牽引してきた事】
部の認知度向上と部財政への貢献を目的に始めましたが、一年目は７万円の赤字で終わり、悔しく、汚名返上し部財政に利益をもたらそうと決意しました。部員ひとりひとりへのヒアリングや売上状況の分析から、失敗の原因として宣伝不足、販売機会の少なさが挙がりました。反省を活かして、様々な媒体を通した宣伝、他部員と連携し部報への振込用紙の同封や部内イベントでの販売等の解決策を行いました。その結果、二年目は認知度向上と21万円の黒字に成功しました。 常に目的意識を持ち、スモールステップを踏んで取り組み続ける事で成果を出す事ができると学びました。",設問4　他者を巻き込み、リーダーシップを発揮した経験を教えてください。（300字以内）,"【〇〇大◇◇部の積極的なブログ更新という文化を作った事】
部の最重要情報発信ツールであるブログが2～3か月に1回と更新が滞っていた事に課題を感じていた私は、毎日読み手を意識した内容で更新する事を目標にしました。部の様子を如実に発信するには全員が投稿する事が必要です。そのために、他部員にブログをはじめ広報活動の重要性を理解してもらいブログを書く内発的動機付けを促すと同時に、書く事を習慣づけてもらうため外発的動機付けも促しました。結果、開始2か月で毎日更新する文化を根付かせる事ができました。 論理的な必要性と熱意を訴え、粘り強く取り組む事で周囲の人を巻き込み現状を変えられるという事を学びました。",設問5　三井住友海上を志望する理由を教えてください。（200字以内）,商品が目に見えないものである以上、人間性や幅広い知識が問われる業界で自己成長が果たせる場であり、相手と真摯に向き合える環境だと感じた為です。また、保険という安心を与える事で広く人を支えられると考えます。なかでも貴社は、企業営業に強い為、企業の挑戦を支えられると思いました。何より、セミナーでお聞きした「保険の向こうに人がいる」という言葉から他社よりもお客様に対する誠実さを強く感じ志望致しました。
https://unistyleinc.com/entry_sheets/6466,エントリーシート,困難に向き合い、乗り越え、実現してきた経験を教えてください。（300字以内）,インカレゼミでの共同論文執筆活動で、コンペティションでの優勝に貢献した経験である。大学二年次に、国際関係を専門的に学びたいと思いこのインカレゼミに参加した。このゼミでは国際関係について共同論文を執筆するのだが、私は当初議論に全くついていけず悔しい思いをしていた。そこで私は学術面ではなく、他にチームに貢献出来る場所を見出そうと考えた。企画係として懇親会や勉強会を企画し、また代表と副代表が仲違いをした時に仲介役として両方の意見を取りまとめ、チームの結束の維持を心掛けるようにした。その結果、チーム全員で一丸となって論文を執筆することができ、五チーム対抗のコンペティションで優勝することが出来た。,異なる価値観に影響を受けた経験を教えてください。（300字以内）,硬式野球部で高校三年時に試合で骨折し、控えに回ってしまった経験である。私は一年時からレギュラーとして試合に出場しており、控えになったことで部活に対するモチベーションが低下してしまっていた。しかし、その姿勢を親や監督から叱責され、自分を客観的に見てチームメイトに悪影響を与えていることに気がついた。そこから私はチームの補助としての役割を積極的に担っていくよに心がけた。練習や試合で道具の整理やメンバーの体のケアなど裏方の仕事を行い、その取り組みを通じて私は、組織の中で大切なことは自分の「できる」事を一生懸命に行うことであり、それによってチームは機能し最大限の力を発揮すると気づくことが出来た。,自ら学び考え、行動した経験を教えてください。（300字以内）,カフェでのアルバイトで、クレームをいただくことの多かった店舗運営の改善を行ったことである。私の働く店舗は店長や社員が不在で店にまとまりがな、そのことが店員の士気と接客の質の低下につながっていると考えた。また、私は同期と協力し店員一人一人の意見を聞き、そこで責任者を求める声が多かったことから本部に対し社員の店舗派遣制度の創設を提案した。最初は無下に断られてしまったが、何度も交渉を重ねることにより提案を承認してもらうことが出来た。社員の方に店舗をまとめてもらい、店員のモチベーションも上がり接客態度が向上しその結果、約半年でクレームを半減することが出来た。,他者を巻き込み、リーダーシップを発揮した経験を教えてください。（300字以内）,"学園祭での模擬店出店の責任者として、売上一位を達成した経験である。私は所属する学生会の模擬店出店で、半年間に渡る準備と運営の責任者を務めた。私は「全員一丸となって売上一位を達成する」という目標を立て、私は準備期間中に①運営に関する定期的なミーティングの開催②仕事を分担し全員に責任感を持たせるという施策を講じ、全員で協力しながら目標達成を目指す体制を整えた。
学祭中売上が振るわず店の士気が低下したとき、私は下を向くことなく販売方法の工夫や毎日決起会を開くといった対策を講じ、士気の回復を目指した。それが功を奏し、最終的には約百万円の売上を記録し目標の売上一位を達成することが出来た。",三井住友海上を志望する理由を教えてください。（200字以内）,私は自分の考えや行動を通じて、人や企業の「生活「と「挑戦」を支えたいと考えている。カフェバイトやフィリピンでの短期ボランティアの経験を通じて、そうした思いを持つに至った。「インフラのインフラ」である損保で、自分を資本として社会を根底から支えたいと考える。その中でもセミナーや社員訪問を通じてお話を伺う中で、最も「この人たちと働きたい」という思いを強く抱いた貴社を志望している。
